track_id,frame,center_x,center_y
2,1188,431,316
2,1189,431,316
2,1190,430,317
2,1191,430,317
2,1192,430,318
2,1193,429,317
2,1194,429,318
2,1195,429,318
2,1196,429,318
2,1197,430,317
2,1198,429,318
2,1199,429,319
2,1200,429,319
2,1201,429,319
2,1202,429,319
2,1203,429,319
2,1204,428,319
2,1205,428,320
2,1206,429,320
2,1207,429,321
2,1208,428,321
2,1209,428,321
2,1210,428,321
2,1211,428,321
2,1212,428,321
2,1213,429,322
2,1214,430,322
2,1215,429,323
2,1216,429,323
2,1217,428,323
2,1218,428,323
2,1219,428,323
2,1220,428,323
2,1221,428,323
2,1222,428,322
2,1223,428,323
2,1224,429,324
2,1225,429,324
2,1226,429,324
2,1227,428,324
2,1228,427,324
2,1229,427,324
2,1230,428,323
2,1231,428,324
2,1232,428,323
2,1233,428,323
2,1234,428,324
2,1235,428,324
2,1236,428,324
2,1237,429,324
2,1238,429,324
2,1239,429,324
2,1240,429,323
2,1241,429,323
2,1242,429,323
2,1243,428,323
2,1244,428,323
2,1245,429,323
2,1246,430,323
2,1247,428,323
2,1248,429,324
2,1249,429,324
2,1250,429,324
2,1251,428,324
2,1252,428,324
2,1253,429,324
2,1254,429,324
2,1255,429,324
2,1256,429,323
2,1257,429,323
2,1258,428,323
2,1259,428,323
2,1260,428,323
2,1261,428,324
2,1262,428,324
2,1263,428,324
2,1264,427,324
2,1265,428,324
2,1266,428,324
2,1267,428,324
2,1268,427,324
2,1269,428,324
2,1270,429,324
2,1271,429,324
2,1272,428,324
2,1273,427,323
2,1274,427,323
2,1275,428,324
2,1276,428,325
2,1277,428,325
2,1278,428,325
2,1279,428,325
2,1280,429,325
2,1281,429,325
